student_id,age,gender,education_level,employment_status,course_id,course_category,course_duration_weeks,course_difficulty,enrollment_type,attendance_pct,live_session_attendance,forum_posts,forum_replies,group_activity_participation,avg_weekly_study_hours,learning_platform_logins,video_completion_pct,learning_streak_days,assignment_completion_pct,quiz_average_score,midterm_score,final_project_score,engagement_score,peer_interaction_score,mentor_interaction_count,support_tickets,feedback_score,course_satisfaction_score,course_fee,scholarship_amount,certificate_issued_flag,legacy_student_reference,learning_cluster_id,batch_reference,administrative_code,student_success_flag
100000,56,Male,PhD,Professional,6121,Business Analytics,4,Intermediate,Instructor-Led,37.926577723928816,55,4,13,23,22.983047898543226,28,44.44396737346336,38,82.4266504610484,76.32991010192025,55.01599943747899,2.8754422706049776,80.86353621037047,87.22333618364841,12.0,2,8.077878184725767,1.6076274615740165,111454.67128288413,33866.66310192669,1,491653,19,9082,454358,1
100001,46,Male,PhD,Job Seeker,6722,Business Analytics,24,Beginner,Bootcamp,34.46148757634031,63,4,8,12,25.334291406958318,24,14.859426838339484,96,69.41405209476844,19.99114105922909,23.362612499601155,54.73644827080042,18.143020883706807,60.33946468171242,11.0,3,8.240162706520795,3.7630064734512936,75997.5064733984,10372.22642618632,1,968744,24,6452,452147,1
100002,32,Male,High School,Self Employed,7897,Cybersecurity,5,Beginner,Instructor-Led,25.93827820112306,76,3,3,23,19.312679722080574,35,84.75195438439715,102,95.45265044499239,76.1270090031968,67.94359366508563,22.54919938324411,19.051943896974954,10.651950717116499,11.0,1,2.302333196132858,5.2861063340532315,20732.81365200354,47663.40054833311,1,315374,43,1413,623242,1
100003,25,Male,High School,Professional,6494,Programming,15,Advanced,Instructor-Led,35.29662044666183,82,5,12,34,23.531386002426594,26,7.903276767336731,107,58.36409134325844,74.57153712648832,17.860109678809444,7.624402198517377,66.71120452684578,21.87148575941027,7.0,3,6.875618155068745,3.030304916197068,45901.623461031544,33360.79343955366,1,406043,54,1216,901620,1
100004,38,Female,High School,Self Employed,8639,Cybersecurity,17,Intermediate,Self-Paced,68.7939713175993,9,2,15,9,18.92692235268517,31,40.66478082504689,95,8.818146577472552,44.063198462073586,80.60927196167789,46.58410624170165,59.112745778403344,45.0424312540039,5.0,0,8.684419665952191,2.274415965840598,106962.73391215653,36624.879805937286,0,168066,1,7944,190911,0
100005,56,Female,High School,Student,1057,Business Analytics,25,Advanced,Bootcamp,99.9275645580845,29,5,12,14,1.1592958500464052,26,82.0393611270413,27,28.120461298685186,15.768228379566306,67.7443198801031,59.13794745894003,21.707794871148266,48.42417201320398,5.0,2,5.467180217946651,4.282968010318284,88583.68441963986,9456.238833207886,0,961629,93,3043,950805,0
100006,36,Female,Masters,Student,2248,Cloud,23,Intermediate,Bootcamp,65.4070656285673,12,4,12,6,17.996411233447617,26,75.48843754291892,111,76.24482644140316,59.822155702985114,20.002823560713267,82.43620074932223,93.12615086772723,2.8351079278612357,11.0,3,9.54340715179159,3.570106320528756,71823.4414598659,36408.974437524004,1,750145,86,9341,628536,1
100007,40,Male,Masters,Self Employed,7036,Business Analytics,20,Advanced,Instructor-Led,68.3796094884195,15,4,9,15,1.8113334927054248,21,35.599182780626236,19,34.40738823811109,41.811088242101015,99.17174123967133,69.06645682473986,20.835180901071183,65.20607312852769,,0,4.797916828698823,6.327195943943158,127602.88786353332,16985.041733595834,0,674959,44,6756,752604,0
100008,28,Female,Bachelors,Self Employed,1517,Business Analytics,10,Beginner,Bootcamp,51.14725325014167,17,10,9,17,6.161020730156344,23,9.22973249791279,81,37.0393735350132,85.51052350932805,16.239095165936167,62.220460335414515,91.1656474381083,89.81343455477196,4.0,1,6.008664788476823,7.630265504571334,51564.5248869036,46761.8157965814,0,622615,16,5800,449553,0
100009,28,Female,Masters,Self Employed,3077,Cloud,24,Intermediate,Bootcamp,23.004547413207543,89,2,7,2,6.96725893808619,18,31.759956530722565,95,23.262921709835403,78.21945894792987,67.0081955867135,78.70749309602874,80.60917126933145,33.53138607170115,5.0,2,1.2746377185606663,5.272646496886562,82712.49786117299,2273.500196899131,0,311134,52,3032,393848,0
100010,41,Male,PhD,Self Employed,9342,Data Science,37,Beginner,Instructor-Led,78.54073852398486,68,6,8,30,18.01929357650592,28,19.29778291742431,65,14.497154746266306,77.935921893767,61.353995561401696,83.58359952342563,8.13220830591832,93.96247190428431,7.0,2,5.734337733032469,8.741057608211623,69171.80426420957,17258.335411036605,1,813586,44,7604,213682,1
100011,53,Female,Masters,Job Seeker,3157,Data Science,25,Beginner,Self-Paced,26.261574086511416,23,6,5,23,26.587785121386304,24,54.1123027621817,39,39.91077672999821,65.89017030124958,34.86538506271275,33.170415472468626,71.45614128263087,43.977701532841195,7.0,4,5.3651597175654935,6.050319583432936,69276.09951702094,11549.93851806138,0,551958,17,3873,707365,0
100012,57,Female,High School,professional,7384,Cloud,25,Advanced,Bootcamp,77.52155484113845,17,6,15,46,24.32905515068375,38,35.13767832342193,3,64.00984239600211,22.5886994676331,59.5470189380251,63.31750610012584,64.4276419047609,16.86473734599939,9.0,0,7.182859824126902,2.1578130884370403,31305.90174260954,2870.4893188870597,0,620444,71,9678,390395,0
100013,41,Female,High School,Professional,4673,Data Science,24,Beginner,Bootcamp,86.75024892733407,96,6,6,9,9.728481042780073,25,88.64812958358176,91,68.53970559773322,11.953017884750771,56.660647435939026,2.9772602299914297,33.92979303510197,14.16191006257418,7.0,0,1.1068560090320125,8.816526765713512,70826.41563958996,19993.394609438485,1,887667,98,9721,354300,1
100014,20,Male,Masters,Job Seeker,9097,Business Analytics,16,Beginner,Bootcamp,37.89456186881799,38,5,16,37,19.817450748761026,25,11.701609961451087,31,22.222358373008642,93.3142369385219,63.626865719979584,8.20285219830399,2.243613184194604,27.869815492815754,8.0,2,2.9904481386161783,2.686283721159107,16682.300575775917,2659.6716709274992,1,977954,36,9057,875149,1
100015,39,Male,PhD,Job Seeker,6149,Cybersecurity,48,Advanced,Bootcamp,82.06119607123806,99,2,12,7,10.420633896710882,25,60.97690787613136,7,10.3285187657171,26.972676562198515,20.01101818742742,55.09950586845799,32.716340685706534,20.467379490897663,8.0,0,1.8503725528541666,1.157149562713983,10191.389557173068,20769.7828589415,0,207461,58,7654,289329,0
100016,19,Female,PhD,Student,3513,Cloud,9,Beginner,Bootcamp,92.96762812366248,10,7,7,39,13.095601033860238,25,77.39955297309777,3,22.565788560111898,44.265671620044635,26.46287771984951,1.3892436923117257,97.35033825634119,86.67685165307374,5.0,3,8.188454878745862,9.139615272696158,10515.509874461677,49782.16009499909,1,870886,21,4791,948621,1
100017,41,Female,High School,Professional,7608,Programming,28,Intermediate,Self-Paced,64.60265935063623,71,2,6,46,18.27310328820059,30,71.25388755777622,108,58.448652583207185,96.17224573590975,92.64518675542858,64.7557050928358,95.03991905282393,7.07067675476607,9.0,0,8.479837005626221,3.9239561069824305,15523.806448370626,19449.560387943737,1,180033,4,1604,176437,1
100018,47,Male,Masters,Self Employed,2394,Programming,47,Advanced,Bootcamp,54.18341582528897,33,3,8,40,25.90096717749431,27,35.09416933764562,48,60.472002892719736,95.62560484870392,82.93691332070924,95.03390241606388,9.749473507905126,1.6141292989296008,10.0,1,8.39601172747925,3.04936658445488,81951.80240498425,22253.005209091803,1,225356,87,1760,523293,1
100019,55,Male,PhD,Job Seeker,2705,Data Science,34,Advanced,Instructor-Led,64.11988546748589,23,2,11,46,24.412925598956203,31,20.6602158000979,109,29.280969664005617,43.0682724526214,71.4106680727376,94.76289689985047,63.71659818546516,13.97089202252052,8.0,1,9.75120385786502,2.8416075303426176,145455.53794513692,2326.035248705327,0,393694,80,1173,156690,0
100020,19,Male,PhD,Job Seeker,3421,Business Analytics,28,Intermediate,Self-Paced,84.43991266526174,80,6,6,22,23.074019035322973,19,13.862740152512387,65,5.4968096606155425,22.11933605785751,95.30891937343239,7.143547560503071,36.24239891032717,57.09294368880216,11.0,1,2.6420269471598723,4.936599605240192,89782.92387727783,10505.313326731903,1,880544,90,7837,666472,1
100021,38,Male,Bachelors,Self Employed,9791,AI,35,Advanced,Self-Paced,69.32240543874862,19,5,10,26,13.557053322914392,22,58.117473395320786,38,56.24499036527375,26.200728743234436,84.10782378683437,10.801625510248424,66.50188259077541,69.84538031422895,,2,1.7226128621569021,7.247133028737774,25947.18583699017,9548.981988283927,1,330941,21,8409,323573,1
100022,50,Male,Bachelors,Professional,4504,Cloud,32,Beginner,Instructor-Led,65.1363438736121,74,6,12,30,25.798946706579354,25,39.124733990552215,110,25.299083086626204,32.17342166095627,65.91936636880233,43.92358862025808,62.593406142214256,18.311212522443643,10.0,5,6.6614182186714554,9.512855319198502,99096.36786132037,7481.200315410597,0,595839,59,8153,118981,0
100023,29,Female,High School,Job Seeker,3299,AI,51,Beginner,Bootcamp,52.443614205702545,88,4,8,26,3.5893108881085594,29,85.99632896284622,87,24.4143585866373,42.90504073313611,20.350811877394705,94.88608177513653,12.1485809504142,45.486355667796765,7.0,3,8.959084381755925,1.2645089194004724,44575.56584045022,41492.26753070428,0,393327,14,6562,327440,0
100024,39,Female,Masters,Job Seeker,5015,Data Science,38,Intermediate,Instructor-Led,22.06756030499583,59,3,9,42,18.867075930903017,27,25.916317040021475,96,51.91194621209962,79.45778272705462,95.5511639904037,92.05868876639101,61.54143778087533,79.80219332676025,8.0,2,3.829188932797825,7.825039207208546,12244.871806060399,29360.899305826053,1,420260,41,4360,101146,1
100025,42,Male,Bachelors,professional,2496,Cybersecurity,15,Beginner,Bootcamp,31.7679641759244,29,6,11,42,7.992536205491122,29,82.19482306355717,109,50.13322830486116,49.82855036690065,40.72984696163996,64.88089180206347,84.8580207822897,71.86789536046338,8.0,3,6.968334727902452,6.115938648461851,50463.89668062737,41386.22169685572,1,541966,32,6866,472894,1
100026,44,Male,Bachelors,Professional,7706,Business Analytics,19,Intermediate,Self-Paced,60.972475711331285,50,4,14,13,28.57040741341123,29,87.5406036131136,13,76.73988513089914,96.74170181121741,86.37727121177092,24.720976574659513,37.45615542233184,18.889722912089102,,6,1.7859083706862489,1.3143004862952707,127104.14133809842,21106.175129487438,1,657679,49,9446,341429,1
100027,59,Female,Bachelors,Student,7771,AI,12,Beginner,Bootcamp,71.66753938375538,0,4,12,28,13.53376923873443,27,9.628045000954,38,34.96728105184147,37.34895620614067,2.2041122052588125,9.424648185914208,10.135714118835725,39.533482401229215,13.0,1,2.392666029841098,2.9093649802244723,81558.92778080818,41374.400927941744,0,222242,76,3675,660733,0
100028,45,Female,Bachelors,Student,8706,Data Science,16,Beginner,Bootcamp,34.34017936166319,6,7,14,11,14.20211108906667,29,54.446325821820885,69,75.73177125664074,27.11461327270882,57.98364130097442,82.84089343354161,33.55096950322144,34.084252372032374,6.0,1,6.414798080480112,5.462088658433663,140872.99246893977,28887.5958577969,0,887712,25,5723,902311,0
100029,33,Female,Bachelors,Job Seeker,9626,AI,15,Intermediate,Bootcamp,74.33323975645854,90,4,17,22,8.573013285905901,22,93.39307034980204,61,52.32572522694399,64.5498270920936,96.6665248922557,40.41762377043978,1.9769046886539687,0.0019721802155703294,8.0,0,7.107835494865635,7.9416436094469685,116831.61504420995,16229.637121610285,1,499073,76,3810,560945,1
100030,32,Male,Bachelors,Self Employed,3658,Programming,29,Advanced,Instructor-Led,61.883945334573994,68,9,15,23,15.755554758876704,28,68.71922911070841,13,89.00773099028339,83.71107449824736,7.542909196694303,0.08895755140048145,63.17096163495171,27.908053258382935,5.0,2,8.764406079649987,7.042571003459851,12120.590467389859,32053.261872193252,0,519990,40,1975,813160,0
100031,20,Female,PhD,Professional,3323,AI,18,Intermediate,Instructor-Led,73.61985025753982,95,6,4,23,10.41822382068908,20,3.737577677592341,57,31.145258128988594,53.399088797093576,35.911837212180195,14.320990665064459,70.42553582662782,19.16386892287608,9.0,1,2.1650196804419015,4.311260358813641,78214.1905335548,47111.3540580946,1,446482,65,5963,917054,1
100032,54,Female,Masters,Self Employed,3895,Data Science,7,Advanced,Self-Paced,62.17827125607282,5,4,9,49,10.329817324879839,24,67.92654629960356,35,3.65960554564978,38.92658263802774,75.15400090969872,14.38854913443608,52.12339502454425,6.9267951772187475,5.0,2,5.769307000276234,7.242607788273181,105484.45383476344,33655.16292684079,0,834141,63,9194,392849,0
100033,24,Female,Bachelors,Job Seeker,2531,Cybersecurity,13,Advanced,Instructor-Led,54.232081317646276,18,6,13,30,21.326776831407507,30,20.902680325890522,71,5.058781191576822,23.344613080554733,14.959452773105554,77.10717270872064,23.48346088412151,64.1551460432472,9.0,2,,4.624494128443465,94206.03098593336,4728.035824153082,0,318492,29,7411,865777,0
100034,38,Female,PhD,Self Employed,1781,Business Analytics,51,Intermediate,Bootcamp,45.149358223916636,33,9,6,2,18.866279396291276,19,88.55466739104523,29,63.8111959810754,73.76321500623176,55.4009810985307,59.61311051938362,99.33319844248302,36.87692056937464,6.0,2,5.5404565171151425,6.994682947375855,68658.45787087877,29542.85760560872,1,124948,19,2513,917480,1
100035,26,Male,PhD,Professional,2425,Cloud,47,Beginner,Self-Paced,33.28756472286087,22,4,10,12,1.9422452437817754,26,95.30026553303773,64,90.22699116298558,73.48032622077775,21.83220508096969,50.82982769303188,3.383117134872493,40.57414482457985,13.0,2,2.161849128484292,9.709241311779486,30076.17297409502,24747.233129639095,1,268916,90,7437,860049,1
100036,56,Male,PhD,Job Seeker,5928,Business Analytics,41,Advanced,Instructor-Led,26.893824615527613,51,3,5,22,9.749635195565352,28,8.549837697993091,45,86.00141189298714,42.597615805147136,0.9564433019555008,15.867438664286393,73.12855344000165,1.818581704125699,6.0,1,4.1168019724173535,9.656902168202933,17856.114430909394,2653.0068520274895,1,991406,80,2016,725853,1
100037,35,Female,High School,Student,3551,Programming,51,Advanced,Self-Paced,88.51836352687438,8,7,14,25,14.662453834636425,23,11.090339032544305,68,58.34810494683828,11.210530978990253,8.00780735132578,3.609221392216011,25.49888820152255,66.55311275287777,8.0,1,6.273262801075988,9.180746938305541,88875.02256321332,18386.590740279447,1,480575,15,9210,536447,1
100038,21,Male,Bachelors,Student,8423,Programming,15,Beginner,Instructor-Led,63.47218033729242,35,4,9,34,10.495697947705091,36,30.88176060744071,43,29.757478554544427,65.42304971938239,48.3313064864904,85.37629448168116,18.93422156372411,82.1340226194873,,1,4.613972911241223,3.0344792135044583,31712.292796113492,35896.57023355455,0,166823,73,1455,373434,0
100039,42,Male,Bachelors,Professional,1556,Programming,25,Intermediate,Instructor-Led,99.01082738678912,78,1,10,49,22.264325149921763,27,14.897120903347915,72,34.19772850712389,69.66215691735785,75.46259233340774,36.74941786336794,92.63027649110568,20.25996433339854,6.0,0,3.4585655448360106,4.613000627878288,102036.57087943552,16708.734584098118,1,255956,39,4473,960453,1
